couple	bande	mod	date	annee	ini	restant	paras	pred	Tx_pred	Tx_para	session	code2	code3
5	BF	20m	24/7/17	2017	10	8	0	2	0.2	0	1	5BF20m	5BF
5	BF	20m	24/7/17	2017	10	6	0	4	0.4	0	1	5BF20m	5BF
6	BE	00m	24/7/17	2017	10	9	0	1	0.1	0	1	6BE00m	6BE
6	BE	00m	24/7/17	2017	10	4	0	6	0.6	0	1	6BE00m	6BE
6	BE	00m	24/7/17	2017	10	9	0	1	0.1	0	1	6BE00m	6BE
6	BE	00m	24/7/17	2017	10	8	0	2	0.2	0	1	6BE00m	6BE
6	BE	05m	24/7/17	2017	10	8	0	2	0.2	0	1	6BE05m	6BE
6	BE	05m	24/7/17	2017	10	10	0	0	0	0	1	6BE05m	6BE
6	BE	05m	24/7/17	2017	10	7	0	3	0.3	0	1	6BE05m	6BE
6	BE	05m	24/7/17	2017	10	10	0	0	0	0	1	6BE05m	6BE
6	BE	20m	24/7/17	2017	10	10	0	0	0	0	1	6BE20m	6BE
6	BE	20m	24/7/17	2017	10	7	0	3	0.3	0	1	6BE20m	6BE
6	BE	20m	24/7/17	2017	10	7	0	3	0.3	0	1	6BE20m	6BE
6	BE	20m	24/7/17	2017	10	6	0	4	0.4	0	1	6BE20m	6BE
6	BF	00m	24/7/17	2017	10	9	0	1	0.1	0	1	6BF00m	6BF
6	BF	00m	24/7/17	2017	10	10	0	0	0	0	1	6BF00m	6BF
6	BF	00m	24/7/17	2017	10	7	0	3	0.3	0	1	6BF00m	6BF
6	BF	00m	24/7/17	2017	10	9	0	1	0.1	0	1	6BF00m	6BF
6	BF	05m	24/7/17	2017	10	9	0	1	0.1	0	1	6BF05m	6BF
6	BF	05m	24/7/17	2017	10	9	0	1	0.1	0	1	6BF05m	6BF
6	BF	05m	24/7/17	2017	10	10	0	0	0	0	1	6BF05m	6BF
6	BF	05m	24/7/17	2017	10	5	0	5	0.5	0	1	6BF05m	6BF
6	BF	20m	24/7/17	2017	10	9	0	1	0.1	0	1	6BF20m	6BF
6	BF	20m	24/7/17	2017	10	10	0	0	0	0	1	6BF20m	6BF
6	BF	20m	24/7/17	2017	10	8	0	2	0.2	0	1	6BF20m	6BF
6	BF	20m	24/7/17	2017	10	8	0	2	0.2	0	1	6BF20m	6BF
7	BE	00m	24/7/17	2017	10	8	0	2	0.2	0	1	7BE00m	7BE
7	BE	00m	24/7/17	2017	10	9	0	1	0.1	0	1	7BE00m	7BE
7	BE	00m	24/7/17	2017	10	6	0	4	0.4	0	1	7BE00m	7BE
7	BE	00m	24/7/17	2017	10	10	0	0	0	0	1	7BE00m	7BE
7	BE	05m	24/7/17	2017	10	0	0	10	1	0	1	7BE05m	7BE
7	BE	05m	24/7/17	2017	10	9	0	1	0.1	0	1	7BE05m	7BE
7	BE	05m	24/7/17	2017	10	8	0	2	0.2	0	1	7BE05m	7BE
7	BE	05m	24/7/17	2017	10	0	0	10	1	0	1	7BE05m	7BE
7	BE	20m	24/7/17	2017	10	6	0	4	0.4	0	1	7BE20m	7BE
7	BE	20m	24/7/17	2017	10	10	0	0	0	0	1	7BE20m	7BE
7	BE	20m	24/7/17	2017	10	0	0	10	1	0	1	7BE20m	7BE
7	BE	20m	24/7/17	2017	10	10	0	0	0	0	1	7BE20m	7BE
7	BF	00m	24/7/17	2017	10	0	0	10	1	0	1	7BF00m	7BF
7	BF	00m	24/7/17	2017	10	0	0	10	1	0	1	7BF00m	7BF
7	BF	00m	24/7/17	2017	10	7	0	3	0.3	0	1	7BF00m	7BF
7	BF	00m	24/7/17	2017	10	7	0	3	0.3	0	1	7BF00m	7BF
7	BF	05m	24/7/17	2017	10	8	0	2	0.2	0	1	7BF05m	7BF
7	BF	05m	24/7/17	2017	10	3	0	7	0.7	0	1	7BF05m	7BF
7	BF	05m	24/7/17	2017	10	10	0	0	0	0	1	7BF05m	7BF
7	BF	05m	24/7/17	2017	10	0	0	10	1	0	1	7BF05m	7BF
7	BF	20m	24/7/17	2017	10	10	0	0	0	0	1	7BF20m	7BF
7	BF	20m	24/7/17	2017	10	0	0	10	1	0	1	7BF20m	7BF
7	BF	20m	24/7/17	2017	10	0	0	10	1	0	1	7BF20m	7BF
7	BF	20m	24/7/17	2017	10	8	0	2	0.2	0	1	7BF20m	7BF
8	BE	00m	24/7/17	2017	10	7	0	3	0.3	0	1	8BE00m	8BE
8	BE	00m	24/7/17	2017	10	8	0	2	0.2	0	1	8BE00m	8BE
8	BE	00m	24/7/17	2017	10	9	0	1	0.1	0	1	8BE00m	8BE
8	BE	00m	24/7/17	2017	10	8	0	2	0.2	0	1	8BE00m	8BE
8	BE	05m	24/7/17	2017	10	9	0	1	0.1	0	1	8BE05m	8BE
8	BE	05m	24/7/17	2017	10	9	0	1	0.1	0	1	8BE05m	8BE
8	BE	05m	24/7/17	2017	10	8	0	2	0.2	0	1	8BE05m	8BE
8	BE	05m	24/7/17	2017	10	10	0	0	0	0	1	8BE05m	8BE
8	BE	20m	24/7/17	2017	10	9	0	1	0.1	0	1	8BE20m	8BE
8	BE	20m	24/7/17	2017	10	6	0	4	0.4	0	1	8BE20m	8BE
8	BE	20m	24/7/17	2017	10	8	0	2	0.2	0	1	8BE20m	8BE
8	BE	20m	24/7/17	2017	10	9	0	1	0.1	0	1	8BE20m	8BE
8	BF	00m	24/7/17	2017	10	10	0	0	0	0	1	8BF00m	8BF
8	BF	00m	24/7/17	2017	10	7	0	3	0.3	0	1	8BF00m	8BF
8	BF	00m	24/7/17	2017	10	10	0	0	0	0	1	8BF00m	8BF
8	BF	00m	24/7/17	2017	10	10	0	0	0	0	1	8BF00m	8BF
8	BF	05m	24/7/17	2017	10	9	0	1	0.1	0	1	8BF05m	8BF
8	BF	05m	24/7/17	2017	10	6	0	4	0.4	0	1	8BF05m	8BF
8	BF	05m	24/7/17	2017	10	10	0	0	0	0	1	8BF05m	8BF
8	BF	05m	24/7/17	2017	10	10	0	0	0	0	1	8BF05m	8BF
8	BF	20m	24/7/17	2017	10	9	0	1	0.1	0	1	8BF20m	8BF
8	BF	20m	24/7/17	2017	10	8	0	2	0.2	0	1	8BF20m	8BF
8	BF	20m	24/7/17	2017	10	6	0	4	0.4	0	1	8BF20m	8BF
