couple	bande	mod	date	session	ini	restant	predates	tx_pred	annee	code2	code3
4	BF	00m	22/8/17	2	10	0	10	1	2017	4BF00m	4BF
4	BF	00m	22/8/17	2	10	10	0	0	2017	4BF00m	4BF
4	BF	05m	22/8/17	2	10	0	10	1	2017	4BF05m	4BF
4	BF	05m	22/8/17	2	10	10	0	0	2017	4BF05m	4BF
4	BF	05m	22/8/17	2	10	10	0	0	2017	4BF05m	4BF
4	BF	05m	22/8/17	2	10	0	10	1	2017	4BF05m	4BF
4	BF	20m	22/8/17	2	10	0	10	1	2017	4BF20m	4BF
4	BF	20m	22/8/17	2	10	0	10	1	2017	4BF20m	4BF
4	BF	20m	22/8/17	2	10	0	10	1	2017	4BF20m	4BF
4	BF	20m	22/8/17	2	10	6	4	0.4	2017	4BF20m	4BF
5	BE	00m	22/8/17	2	10	4	6	0.6	2017	5BE00m	5BE
5	BE	00m	22/8/17	2	10	9	1	0.1	2017	5BE00m	5BE
5	BE	00m	22/8/17	2	10	9	1	0.1	2017	5BE00m	5BE
5	BE	00m	22/8/17	2	10	9	1	0.1	2017	5BE00m	5BE
5	BE	05m	22/8/17	2	10	8	2	0.2	2017	5BE05m	5BE
5	BE	05m	22/8/17	2	10	0	10	1	2017	5BE05m	5BE
5	BE	05m	22/8/17	2	10	10	0	0	2017	5BE05m	5BE
5	BE	05m	22/8/17	2	10	7	3	0.3	2017	5BE05m	5BE
5	BE	20m	22/8/17	2	10	9	1	0.1	2017	5BE20m	5BE
5	BE	20m	22/8/17	2	10	0	10	1	2017	5BE20m	5BE
5	BE	20m	22/8/17	2	10	8	2	0.2	2017	5BE20m	5BE
5	BE	20m	22/8/17	2	10	10	0	0	2017	5BE20m	5BE
5	BF	00m	22/8/17	2	10	10	0	0	2017	5BF00m	5BF
5	BF	00m	22/8/17	2	10	10	0	0	2017	5BF00m	5BF
5	BF	00m	22/8/17	2	10	0	10	1	2017	5BF00m	5BF
5	BF	00m	22/8/17	2	10	9	1	0.1	2017	5BF00m	5BF
5	BF	05m	22/8/17	2	10	10	0	0	2017	5BF05m	5BF
5	BF	05m	22/8/17	2	10	5	5	0.5	2017	5BF05m	5BF
5	BF	05m	22/8/17	2	10	10	0	0	2017	5BF05m	5BF
5	BF	05m	22/8/17	2	10	5	5	0.5	2017	5BF05m	5BF
5	BF	20m	22/8/17	2	10	8	2	0.2	2017	5BF20m	5BF
5	BF	20m	22/8/17	2	10	10	0	0	2017	5BF20m	5BF
5	BF	20m	22/8/17	2	10	2	8	0.8	2017	5BF20m	5BF
5	BF	20m	22/8/17	2	10	7	3	0.3	2017	5BF20m	5BF
6	BE	00m	23/8/17	2	10	0	10	1	2017	6BE00m	6BE
6	BE	00m	23/8/17	2	10	7	3	0.3	2017	6BE00m	6BE
6	BE	00m	23/8/17	2	10	0	10	1	2017	6BE00m	6BE
6	BE	00m	23/8/17	2	10	0	10	1	2017	6BE00m	6BE
6	BE	05m	23/8/17	2	10	5	5	0.5	2017	6BE05m	6BE
6	BE	05m	23/8/17	2	10	3	7	0.7	2017	6BE05m	6BE
6	BE	05m	23/8/17	2	10	1	9	0.9	2017	6BE05m	6BE
6	BE	05m	23/8/17	2	10	9	1	0.1	2017	6BE05m	6BE
6	BE	20m	23/8/17	2	10	9	1	0.1	2017	6BE20m	6BE
6	BE	20m	23/8/17	2	10	5	5	0.5	2017	6BE20m	6BE
6	BE	20m	23/8/17	2	10	0	10	1	2017	6BE20m	6BE
6	BE	20m	23/8/17	2	10	8	2	0.2	2017	6BE20m	6BE
6	BF	00m	23/8/17	2	10	6	4	0.4	2017	6BF00m	6BF
6	BF	00m	23/8/17	2	10	0	10	1	2017	6BF00m	6BF
6	BF	00m	23/8/17	2	10	0	10	1	2017	6BF00m	6BF
6	BF	00m	23/8/17	2	10	0	10	1	2017	6BF00m	6BF
6	BF	05m	23/8/17	2	10	6	4	0.4	2017	6BF05m	6BF
6	BF	05m	23/8/17	2	10	8	2	0.2	2017	6BF05m	6BF
6	BF	05m	23/8/17	2	10	2	8	0.8	2017	6BF05m	6BF
6	BF	05m	23/8/17	2	10	2	8	0.8	2017	6BF05m	6BF
6	BF	20m	23/8/17	2	10	8	2	0.2	2017	6BF20m	6BF
6	BF	20m	23/8/17	2	10	4	6	0.6	2017	6BF20m	6BF
6	BF	20m	23/8/17	2	10	0	10	1	2017	6BF20m	6BF
6	BF	20m	23/8/17	2	10	3	7	0.7	2017	6BF20m	6BF
7	BE	00m	24/8/17	2	10	10	0	0	2017	7BE00m	7BE
7	BE	00m	24/8/17	2	10	4	6	0.6	2017	7BE00m	7BE
7	BE	00m	24/8/17	2	10	4	6	0.6	2017	7BE00m	7BE
7	BE	00m	24/8/17	2	10	9	1	0.1	2017	7BE00m	7BE
7	BE	05m	24/8/17	2	10	9	1	0.1	2017	7BE05m	7BE
7	BE	05m	24/8/17	2	10	10	0	0	2017	7BE05m	7BE
7	BE	05m	24/8/17	2	10	7	3	0.3	2017	7BE05m	7BE
7	BE	05m	24/8/17	2	10	0	10	1	2017	7BE05m	7BE
7	BE	20m	24/8/17	2	10	1	9	0.9	2017	7BE20m	7BE
7	BE	20m	24/8/17	2	10	5	5	0.5	2017	7BE20m	7BE
7	BE	20m	24/8/17	2	10	9	1	0.1	2017	7BE20m	7BE
7	BE	20m	24/8/17	2	10	7	3	0.3	2017	7BE20m	7BE
7	BF	00m	24/8/17	2	10	3	7	0.7	2017	7BF00m	7BF
7	BF	00m	24/8/17	2	10	6	4	0.4	2017	7BF00m	7BF
7	BF	00m	24/8/17	2	10	1	9	0.9	2017	7BF00m	7BF
7	BF	00m	24/8/17	2	10	7	3	0.3	2017	7BF00m	7BF
7	BF	05m	24/8/17	2	10	3	7	0.7	2017	7BF05m	7BF
7	BF	05m	24/8/17	2	10	0	10	1	2017	7BF05m	7BF
7	BF	05m	24/8/17	2	10	0	10	1	2017	7BF05m	7BF
7	BF	05m	24/8/17	2	10	8	2	0.2	2017	7BF05m	7BF
7	BF	20m	24/8/17	2	10	0	10	1	2017	7BF20m	7BF
