"","Site","Treatment","Distance","Session","PredRate"
"618","12","High Div",15,"2",0.2
"619","12","High Div",15,"2",0.3
"620","12","High Div",15,"2",0.6
"621","12","High Div",30,"2",0.3
"622","12","High Div",30,"2",0
"623","12","High Div",30,"2",0.1
"624","12","High Div",30,"2",0
"625","1","Low Div",0,"2",1
"626","1","Low Div",0,"2",0.3
"627","1","Low Div",0,"2",0.4
"628","1","Low Div",0,"2",0.3
"629","1","Low Div",15,"2",0.4
"630","1","Low Div",15,"2",0.3
"631","1","Low Div",15,"2",0.3
"632","1","Low Div",15,"2",0.2
"633","1","Low Div",30,"2",0.1
"634","1","Low Div",30,"2",0.3
"635","1","Low Div",30,"2",0.1
"636","1","Low Div",30,"2",0.3
"637","1","High Div",0,"2",0.4
"638","1","High Div",0,"2",0.2
"639","1","High Div",0,"2",0.1
"640","1","High Div",0,"2",0.5
"641","1","High Div",15,"2",0.4
"642","1","High Div",15,"2",0.4
"643","1","High Div",15,"2",0.3
"644","1","High Div",15,"2",0.6
"645","1","High Div",30,"2",0.5
"646","1","High Div",30,"2",0.4
"647","1","High Div",30,"2",0.3
"648","1","High Div",30,"2",0.8
"649","2","Low Div",0,"2",0
"650","2","Low Div",0,"2",0.2
"651","2","Low Div",0,"2",0.2
"652","2","Low Div",0,"2",0.1
"653","2","Low Div",15,"2",0.2
"654","2","Low Div",15,"2",0.7
"655","2","Low Div",15,"2",0.3
"656","2","Low Div",15,"2",0.4
"657","2","Low Div",30,"2",0.4
"658","2","Low Div",30,"2",0.1
"659","2","Low Div",30,"2",0.1
"660","2","Low Div",30,"2",0.4
"661","2","High Div",0,"2",0.6
"662","2","High Div",0,"2",0.2
"663","2","High Div",0,"2",0.4
"664","2","High Div",0,"2",0.5
"665","2","High Div",15,"2",0.2
"666","2","High Div",15,"2",0.4
"667","2","High Div",15,"2",0.3
"668","2","High Div",15,"2",0.3
"669","2","High Div",30,"2",0.3
"670","2","High Div",30,"2",0.2
"671","2","High Div",30,"2",0
"672","2","High Div",30,"2",0.6
"673","6","Low Div",0,"2",NA
"674","6","Low Div",0,"2",0.2
"675","6","Low Div",0,"2",0.1
"676","6","Low Div",0,"2",0.6
"677","6","Low Div",15,"2",0.4
"678","6","Low Div",15,"2",0.7
"679","6","Low Div",15,"2",0.6
"680","6","Low Div",15,"2",0.3
